"Date,Walmart Inc. (WMT-US),""Vislink Technologies, Inc. (VISL-US)"",Visa Inc. Class A (V-US),""Viking Therapeutics, Inc. (VKTX-US)"",ViacomCBS Inc. Class B (VIAC-US),""Veritone, Inc. (VERI-US)"",""Vaxart, Inc. (VXRT-US)"",Tesla Inc (TSLA-US),SPDR S&P 500 ETF Trust (SPY-US),Southwest Airlines Co. (LUV-US),""Sirius XM Holdings, Inc. (SIRI-US)"",SilverBox Engaged Merger Corp. I Class A (SBEA-US),""Rockwell Medical, Inc. (RMTI-US)"",""Robinhood Markets, Inc. Class A (HOOD-US)"",""Revolve Group, Inc Class A (RVLV-US)"",""Portillo's, Inc. Class A (PTLO-US)"",Plug Power Inc. (PLUG-US),Pimco Global Stockplus & Income Fund (PGP-US),""OPKO Health, Inc. (OPK-US)"",Ocugen Inc (OCGN-US),NVIDIA Corporation (NVDA-US),NuCana plc Sponsored ADR (NCNA-US),NIO Inc. Sponsored ADR Class A (NIO-US),Nikola Corporation (NKLA-US),""NIKE, Inc. Class B (NKE-US)"",""Netflix, Inc. (NFLX-US)"",""Moderna, Inc. (MRNA-US)"",""Micron Technology, Inc. (MU-US)"",MGM Resorts International (MGM-US),Meta Platforms Inc. Class A (FB-US),MediWound Ltd. (MDWD-US),""Matterport, Inc. Class A (MTTR-US)"",Marathon Petroleum Corporation (MPC-US),""Lyft, Inc. Class A (LYFT-US)"",""Lucid Group, Inc. (LCID-US)"",""Limelight Networks, Inc. (LLNW-US)"",""Intuitive Surgical, Inc. (ISRG-US)"",Inspira Technologies Oxy B.H.N. Ltd. (IINN-US),""Hasbro, Inc. (HAS-US)"",""GoPro, Inc. Class A (GPRO-US)"",""Genius Brands International, Inc. (GNUS-US)"",General Electric Company (GE-US),Ford Motor Company (F-US),Flex Ltd. (FLEX-US),""Evolus, Inc. (EOLS-US)"",""Dropbox, Inc. Class A (DBX-US)"",""DatChat, Inc. (DATS-US)"",CYREN Ltd. (CYRN-US),""CymaBay Therapeutics, Inc. (CBAY-US)"",Citigroup Inc. (C-US),""Chemocentryx, Inc. (CCXI-US)"",Carnival Corporation (CCL-US),Canopy Growth Corporation (CGC-US),""Camber Energy, Inc. (CEI-US)"",""Asensus Surgical, Inc. (ASXC-US)"",Apple Inc. (AAPL-US),""American Airlines Group, Inc. (AAL-US)"",""AMC Entertainment Holdings, Inc. Class A (AMC-US)"",""Amazon.com, Inc. (AMZN-US)"",Agenus Inc. (AGEN-US),""Advanced Micro Devices, Inc. (AMD-US)"",""Activision Blizzard, Inc. (ATVI-US)"",""AcelRx Pharmaceuticals, Inc. (ACRX-US)"""
"01/07/22,144.89,1.12,216.96,4.20,35.39,19.60,6.10,""1,026.96"",466.09,45.35,6.20,10.24,0.41,15.89,54.38,33.74,24.96,10.81,4.45,4.06,272.47,2.45,29.30,10.62,156.97,541.06,213.86,94.45,44.53,331.79,3.12,15.61,70.93,43.10,41.98,3.55,324.29,3.71,102.78,10.68,1.09,101.40,24.44,17.46,6.20,23.63,2.70,0.30,3.31,65.78,36.60,21.90,8.52,0.82,0.95,172.17,19.28,22.99,""3,251.08"",2.99,132.00,64.04,0.52"
"01/06/22,143.52,1.11,219.75,4.29,32.72,19.69,6.19,""1,064.70"",467.94,43.89,6.19,10.20,0.39,15.58,54.31,33.75,25.22,10.82,4.63,4.13,281.78,2.40,29.31,10.21,161.04,553.29,216.06,95.65,44.32,332.46,2.95,16.30,70.15,43.60,38.22,3.51,334.18,4.04,103.15,10.69,1.08,99.95,24.46,17.82,6.13,23.70,2.80,0.30,3.35,64.91,39.12,21.07,8.21,0.86,0.94,172.00,18.57,22.46,""3,265.08"",3.07,136.23,63.82,0.53"
"01/05/22,143.92,1.15,220.00,4.34,32.72,19.75,6.24,""1,088.12"",468.38,43.99,6.15,10.16,0.41,15.98,52.35,33.31,26.27,10.66,4.50,4.18,276.04,2.40,29.88,9.88,162.25,567.52,215.23,94.40,43.04,324.17,2.89,15.73,68.24,43.59,36.68,3.45,341.95,3.90,103.32,10.67,1.05,99.37,23.66,18.03,6.30,23.66,2.85,0.34,3.28,62.85,37.15,21.17,8.37,0.84,1.04,174.92,18.68,22.75,""3,287.14"",3.00,136.15,66.29,0.56"
"01/04/22,142.00,1.23,222.46,4.62,33.05,22.17,6.54,""1,149.59"",477.55,44.66,6.17,10.15,0.42,17.40,57.23,36.31,28.15,10.72,4.67,4.47,292.90,2.58,31.58,10.32,166.39,591.15,233.06,96.34,45.39,336.53,2.65,18.22,67.81,44.95,39.41,3.58,354.63,3.98,103.92,10.91,1.11,99.37,24.31,18.67,6.59,24.58,3.19,0.32,3.47,63.59,38.96,21.73,8.97,0.91,1.12,179.70,19.02,25.49,""3,350.44"",3.20,144.42,67.20,0.59"
"01/03/22,144.65,1.25,221.43,4.88,32.24,22.50,6.64,""1,199.78"",477.71,44.00,6.36,10.17,0.45,18.44,56.92,38.84,28.79,10.89,4.93,4.72,301.21,2.58,33.47,10.24,164.67,597.37,235.05,95.75,45.48,338.54,2.60,19.61,65.66,44.59,40.93,3.56,360.00,3.99,102.17,10.66,1.12,96.24,21.77,18.58,7.02,24.96,3.33,0.33,3.64,63.10,37.05,21.41,9.30,0.90,1.19,182.01,18.75,26.52,""3,408.09"",3.47,150.24,67.42,0.61"
"12/31/21,144.69,1.18,216.71,4.60,30.18,22.48,6.27,""1,056.78"",474.96,42.84,6.35,10.15,0.41,17.76,56.04,37.54,28.23,10.83,4.81,4.55,294.11,2.38,31.68,9.87,166.67,602.44,253.98,93.15,44.88,336.35,2.36,20.64,63.99,42.73,38.05,3.43,359.30,4.16,101.78,10.31,1.05,94.47,20.77,18.33,6.51,24.54,3.03,0.29,3.38,60.39,36.41,20.12,8.73,0.85,1.11,177.57,17.96,27.20,""3,334.34"",3.22,143.90,66.53,0.56"
"12/30/21,143.17,1.21,217.87,4.64,31.12,22.86,6.44,""1,070.34"",476.16,42.72,6.42,10.10,0.41,18.20,56.74,37.34,28.84,10.66,4.84,4.83,295.86,2.39,32.42,10.19,167.49,612.09,251.60,93.89,44.76,344.36,2.47,21.82,63.43,43.49,38.75,3.49,363.30,4.78,101.02,10.48,1.09,94.70,20.47,18.39,6.50,24.63,3.13,0.31,3.30,60.43,36.27,20.53,8.94,0.89,1.08,178.20,18.07,28.94,""3,372.89"",3.37,145.15,67.49,0.49"
"12/29/21,142.71,1.18,218.17,4.71,29.99,21.31,6.41,""1,086.19"",477.48,42.16,6.37,10.09,0.37,17.11,55.33,36.82,27.96,10.71,4.98,4.38,300.01,2.33,28.25,9.88,168.78,610.54,247.88,96.17,44.49,342.94,2.33,21.32,63.95,43.24,36.97,3.60,365.27,3.75,99.51,10.61,1.07,94.79,20.56,18.35,6.35,24.77,2.91,0.28,3.23,60.54,36.27,20.79,8.76,0.90,1.03,179.38,18.05,27.95,""3,384.02"",3.38,148.26,67.16,0.49"
"12/28/21,142.78,1.20,218.05,4.73,30.12,23.06,6.46,""1,088.47"",476.87,42.29,6.41,10.03,0.37,17.45,55.34,36.79,28.33,10.64,4.85,4.72,303.22,2.31,29.63,10.55,166.42,610.71,241.44,92.94,44.22,346.22,2.31,22.28,64.37,43.52,36.98,3.67,364.54,3.80,98.73,10.67,1.10,95.30,20.76,18.20,6.66,25.01,3.09,0.30,3.30,60.62,36.43,20.90,9.02,0.92,1.06,179.29,18.54,27.72,""3,413.22"",3.37,153.15,66.67,0.50"
"12/27/21,140.76,1.21,217.63,4.87,30.12,23.48,6.69,""1,093.94"",477.26,41.76,6.45,10.03,0.38,18.44,56.81,37.47,29.60,10.73,5.15,5.11,309.45,2.44,29.96,10.78,167.58,613.12,246.88,94.43,45.21,346.18,2.38,23.91,64.08,44.03,38.64,3.66,364.58,3.81,99.33,10.68,1.16,94.62,20.80,18.20,6.80,25.06,3.42,0.32,3.46,60.65,36.92,20.95,9.45,1.01,1.10,180.33,18.17,28.70,""3,393.39"",3.47,154.36,65.45,0.52"
